,Token,Lemma,Pos,Chunklabel,DepREL,Previous,PTokenPos,Negation
1,the,the,DET,DT,det,is,AUX,O
1,tale,tale,NOUN,NN,attr,the,DET,O
1,",",",",PUNCT,",",punct,tale,NOUN,O
1,my,-PRON-,DET,PRP$,poss,",",PUNCT,O
1,sons,son,NOUN,NNS,appos,my,DET,O
1,",",",",PUNCT,",",punct,sons,NOUN,O
1,of,of,ADP,IN,prep,",",PUNCT,O
1,the,the,DET,DT,det,of,ADP,O
1,coming,come,VERB,VBG,pobj,the,DET,O
1,of,of,ADP,IN,prep,coming,VERB,O
1,the,the,DET,DT,det,of,ADP,O
1,hound,hound,ADJ,JJ,pobj,the,DET,O
1,which,which,DET,WDT,nsubjpass,hound,ADJ,O
1,is,be,AUX,VBZ,auxpass,which,DET,O
1,said,say,VERB,VBD,relcl,is,AUX,O
1,to,to,ADP,IN,aux,said,VERB,O
1,have,have,AUX,VBP,aux,to,ADP,O
1,plagued,plagued,PROPN,NNP,xcomp,have,AUX,O
1,the,the,DET,DT,det,plagued,PROPN,O
1,family,family,NOUN,NN,dobj,the,DET,O
1,so,so,ADV,RB,advmod,family,NOUN,O
1,sorely,sorely,ADV,RB,advmod,so,ADV,O
1,ever,ever,ADV,RB,advmod,sorely,ADV,O
1,since,since,SCONJ,IN,advmod,ever,ADV,O
1,.,.,PUNCT,.,punct,since,SCONJ,O
1,If,if,SCONJ,IN,mark,.,PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,If,SCONJ,O
1,have,have,AUX,VBP,aux,I,PRON,O
1,set,set,VERB,VBN,advcl,have,AUX,O
1,it,-PRON-,PRON,PRP,dobj,set,VERB,O
1,down,down,ADV,RB,prt,it,PRON,O
1,it,-PRON-,PRON,PRP,nsubj,down,ADV,O
1,is,be,AUX,VBZ,ROOT,it,PRON,O
1,because,because,SCONJ,IN,prep,is,AUX,O
1,that,that,SCONJ,IN,mark,because,SCONJ,O
1,which,which,DET,WDT,nsubj,that,SCONJ,O
1,is,be,AUX,VBZ,auxpass,which,DET,O
1,clearly,clearly,ADV,RB,advmod,is,AUX,O
1,known,know,VERB,VBN,amod,clearly,ADV,O
1,hath,hath,PROPN,NNP,nsubj,known,VERB,O
1,less,less,ADJ,JJR,amod,hath,PROPN,O
1,terror,terror,NOUN,NN,pobj,less,ADJ,O
1,than,than,SCONJ,IN,prep,terror,NOUN,O
1,that,that,SCONJ,IN,pobj,than,SCONJ,O
1,which,which,DET,WDT,nsubj,that,SCONJ,O
1,is,be,AUX,VBZ,ROOT,which,DET,O
1,but,but,CCONJ,CC,cc,is,AUX,O
1,hinted,hint,VERB,VBN,conj,but,CCONJ,O
1,at,at,ADP,IN,prep,hinted,VERB,O
1,and,and,CCONJ,CC,cc,at,ADP,O
1,guessed,guess,VERB,VBN,conj,and,CCONJ,O
1,.,.,PUNCT,.,punct,guessed,VERB,O
1,Nor,nor,CCONJ,CC,cc,.,PUNCT,B-NEG
1,can,can,VERB,MD,aux,Nor,CCONJ,O
1,it,-PRON-,PRON,PRP,nsubjpass,can,VERB,O
1,be,be,AUX,VB,auxpass,it,PRON,O
1,denied,deny,VERB,VBN,ROOT,be,AUX,O
1,that,that,SCONJ,IN,mark,denied,VERB,O
1,many,many,ADJ,JJ,nsubj,that,SCONJ,O
1,of,of,ADP,IN,prep,many,ADJ,O
1,the,the,DET,DT,det,of,ADP,O
1,family,family,NOUN,NN,pobj,the,DET,O
1,have,have,AUX,VBP,aux,family,NOUN,O
1,been,be,AUX,VBN,ccomp,have,AUX,O
1,unhappy,unhappy,ADJ,JJ,acomp,been,AUX,O
1,in,in,ADP,IN,prep,unhappy,ADJ,O
1,their,-PRON-,DET,PRP$,poss,in,ADP,O
1,deaths,death,NOUN,NNS,pobj,their,DET,O
1,",",",",PUNCT,",",punct,deaths,NOUN,O
1,which,which,DET,WDT,nsubj,",",PUNCT,O
1,have,have,AUX,VBP,aux,which,DET,O
1,been,be,AUX,VBN,relcl,have,AUX,O
1,sudden,sudden,ADJ,JJ,acomp,been,AUX,O
1,",",",",PUNCT,",",punct,sudden,ADJ,O
1,bloody,bloody,ADJ,JJ,conj,",",PUNCT,O
1,",",",",PUNCT,",",punct,bloody,ADJ,O
1,and,and,CCONJ,CC,cc,",",PUNCT,O
1,mysterious,mysterious,ADJ,JJ,conj,and,CCONJ,O
1,.,.,PUNCT,.,punct,mysterious,ADJ,O
1,Yet,yet,ADV,RB,advmod,.,PUNCT,O
1,may,may,VERB,MD,aux,Yet,ADV,O
1,we,-PRON-,PRON,PRP,nsubj,may,VERB,O
1,shelter,shelter,PROPN,NNP,ROOT,we,PRON,O
1,ourselves,-PRON-,PRON,PRP,dobj,shelter,PROPN,O
1,in,in,ADP,IN,prep,ourselves,PRON,O
1,the,the,DET,DT,det,in,ADP,O
1,infinite,infinite,PROPN,NNP,amod,the,DET,B-NEG
1,goodness,goodness,NOUN,NN,pobj,infinite,PROPN,O
1,of,of,ADP,IN,prep,goodness,NOUN,O
1,Providence,providence,NOUN,NN,pobj,of,ADP,O
1,",",",",PUNCT,",",punct,Providence,NOUN,O
1,which,which,DET,WDT,nsubj,",",PUNCT,O
1,would,would,VERB,MD,aux,which,DET,O
1,not,not,PART,RB,neg,would,VERB,O
1,forever,forever,ADV,RB,advmod,not,PART,O
1,punish,punish,NOUN,NN,advcl,forever,ADV,O
1,the,the,DET,DT,det,punish,NOUN,O
1,innocent,innocent,ADJ,JJ,dobj,the,DET,O
1,beyond,beyond,ADP,IN,prep,innocent,ADJ,O
1,that,that,SCONJ,IN,det,beyond,ADP,O
1,third,third,ADJ,JJ,amod,that,SCONJ,O
1,or,or,CCONJ,CC,cc,third,ADJ,O
1,fourth,fourth,ADJ,JJ,conj,or,CCONJ,O
1,generation,generation,NOUN,NN,pobj,fourth,ADJ,O
1,which,which,DET,WDT,nsubjpass,generation,NOUN,O
1,is,be,AUX,VBZ,auxpass,which,DET,O
1,threatened,threaten,VERB,VBN,relcl,is,AUX,O
1,in,in,ADP,IN,prep,threatened,VERB,O
1,Holy,holy,ADJ,JJ,compound,in,ADP,O
1,Writ,Writ,VERB,VBN,pobj,Holy,ADJ,O
1,.,.,PUNCT,.,punct,Writ,VERB,O
1,To,to,ADP,IN,prep,.,PUNCT,O
1,that,that,SCONJ,IN,det,To,ADP,O
1,Providence,providence,NOUN,NN,pobj,that,SCONJ,O
1,",",",",PUNCT,",",punct,Providence,NOUN,O
1,my,-PRON-,DET,PRP$,poss,",",PUNCT,O
1,sons,son,NOUN,NNS,npadvmod,my,DET,O
1,",",",",PUNCT,",",punct,sons,NOUN,O
1,I,-PRON-,PRON,PRP,nsubj,",",PUNCT,O
1,hereby,hereby,PROPN,NNP,advmod,I,PRON,O
1,commend,commend,VERB,VB,ROOT,hereby,PROPN,O
1,you,-PRON-,PRON,PRP,dobj,commend,VERB,O
1,",",",",PUNCT,",",punct,you,PRON,O
1,and,and,CCONJ,CC,cc,",",PUNCT,O
1,I,-PRON-,PRON,PRP,nsubj,and,CCONJ,O
1,counsel,counsel,NOUN,NN,conj,I,PRON,O
1,you,-PRON-,PRON,PRP,dobj,counsel,NOUN,O
1,by,by,ADP,IN,prep,you,PRON,O
1,way,way,NOUN,NN,pobj,by,ADP,O
1,of,of,ADP,IN,prep,way,NOUN,O
1,caution,caution,NOUN,NN,pobj,of,ADP,O
1,to,to,ADP,IN,aux,caution,NOUN,O
1,forbear,forbear,PROPN,NNP,acl,to,ADP,O
1,from,from,ADP,IN,prep,forbear,PROPN,O
1,crossing,crossing,PROPN,NNP,pcomp,from,ADP,O
1,the,the,DET,DT,det,crossing,PROPN,O
1,moor,moor,PROPN,NNP,dobj,the,DET,O
1,in,in,ADP,IN,prep,moor,PROPN,O
1,those,those,DET,DT,det,in,ADP,O
1,dark,dark,ADJ,JJ,amod,those,DET,O
1,hours,hour,NOUN,NNS,pobj,dark,ADJ,O
1,when,when,ADV,WRB,advmod,hours,NOUN,O
1,the,the,DET,DT,det,when,ADV,O
1,powers,power,NOUN,NNS,nsubjpass,the,DET,O
1,of,of,ADP,IN,prep,powers,NOUN,O
1,evil,evil,ADJ,JJ,pobj,of,ADP,O
1,are,be,AUX,VBP,auxpass,evil,ADJ,O
1,exalted,exalted,ADJ,JJ,relcl,are,AUX,O
1,.,.,PUNCT,.,punct,exalted,ADJ,O
1,``,`,PUNCT,``,ROOT,'',PUNCT,O
1,[,[,PUNCT,-LRB-,punct,``,PUNCT,O
1,This,this,DET,DT,pcomp,[,PUNCT,O
1,from,from,ADP,IN,prep,This,DET,O
1,Hugo,Hugo,PROPN,NNP,compound,from,ADP,O
1,Baskerville,Baskerville,PROPN,NNP,pobj,Hugo,PROPN,O
1,to,to,ADP,IN,prep,Baskerville,PROPN,O
1,his,-PRON-,DET,PRP$,poss,to,ADP,O
1,sons,son,NOUN,NNS,pobj,his,DET,O
1,Rodger,Rodger,PROPN,NNP,appos,sons,NOUN,O
1,and,and,CCONJ,CC,cc,Rodger,PROPN,O
1,John,John,PROPN,NNP,conj,and,CCONJ,O
1,",",",",PUNCT,",",punct,John,PROPN,O
1,with,with,ADP,IN,prep,",",PUNCT,O
1,instructions,instruction,NOUN,NNS,pobj,with,ADP,O
1,that,that,SCONJ,IN,mark,instructions,NOUN,O
1,they,-PRON-,PRON,PRP,nsubj,that,SCONJ,O
1,say,say,VERB,VB,ccomp,they,PRON,O
1,nothing,nothing,PRON,NN,dobj,say,VERB,B-NEG
1,thereof,thereof,ADV,RB,ccomp,nothing,PRON,O
1,to,to,ADP,IN,prep,thereof,ADV,O
1,their,-PRON-,DET,PRP$,poss,to,ADP,O
1,sister,sister,NOUN,NN,pobj,their,DET,O
1,Elizabeth,Elizabeth,PROPN,NNP,appos,sister,NOUN,O
1,.,.,PUNCT,.,punct,Elizabeth,PROPN,O
1,],],PUNCT,-RRB-,punct,.,PUNCT,O
1,'','',PUNCT,'',punct,],PUNCT,O
1,When,when,ADV,WRB,advmod,.,PUNCT,O
1,Dr.,Dr.,PROPN,NNP,compound,When,ADV,O
1,Mortimer,Mortimer,PROPN,NNP,nsubj,Dr.,PROPN,O
1,had,have,AUX,VBD,aux,Mortimer,PROPN,O
1,finished,finish,VERB,VBN,ROOT,had,AUX,O
1,reading,read,VERB,VBG,xcomp,finished,VERB,O
1,this,this,DET,DT,det,reading,VERB,O
1,singular,singular,ADJ,JJ,amod,this,DET,O
1,narrative,narrative,PROPN,NNP,dobj,singular,ADJ,O
1,he,-PRON-,PRON,PRP,nsubj,narrative,PROPN,O
1,pushed,push,VERB,VBN,ROOT,he,PRON,O
1,his,-PRON-,DET,PRP$,poss,pushed,VERB,O
1,spectacles,spectacle,NOUN,NNS,dobj,his,DET,O
1,up,up,ADV,RB,prt,spectacles,NOUN,O
1,on,on,ADP,IN,prep,up,ADV,O
1,his,-PRON-,DET,PRP$,poss,on,ADP,O
1,forehead,forehead,PROPN,NNP,pobj,his,DET,O
1,and,and,CCONJ,CC,cc,forehead,PROPN,O
1,stared,stared,PROPN,NNP,conj,and,CCONJ,O
1,across,across,ADP,IN,prt,stared,PROPN,O
1,at,at,ADP,IN,prep,across,ADP,O
1,Mr.,Mr.,PROPN,NNP,compound,at,ADP,O
1,Sherlock,Sherlock,PROPN,NNP,compound,Mr.,PROPN,O
1,Holmes,Holmes,PROPN,NNP,pobj,Sherlock,PROPN,O
1,.,.,PUNCT,.,punct,Holmes,PROPN,O
1,The,the,DET,DT,det,.,PUNCT,O
1,latter,latter,ADJ,JJ,nsubj,The,DET,O
1,yawned,yawn,VERB,VBN,ROOT,latter,ADJ,O
1,and,and,CCONJ,CC,cc,yawned,VERB,O
1,tossed,toss,VERB,VBD,conj,and,CCONJ,O
1,the,the,DET,DT,det,tossed,VERB,O
1,end,end,NOUN,NN,dobj,the,DET,O
1,of,of,ADP,IN,prep,end,NOUN,O
1,his,-PRON-,DET,PRP$,poss,of,ADP,O
1,cigarette,cigarette,NOUN,NN,pobj,his,DET,O
1,into,into,ADP,IN,prep,cigarette,NOUN,O
1,the,the,DET,DT,det,into,ADP,O
1,fire,fire,NOUN,NN,pobj,the,DET,O
1,.,.,PUNCT,.,punct,fire,NOUN,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,Well,well,INTJ,UH,ccomp,``,PUNCT,O
1,?,?,PUNCT,.,punct,Well,INTJ,O
1,'','',PUNCT,'',punct,?,PUNCT,O
1,said,say,VERB,VBD,ROOT,'',PUNCT,O
1,he,-PRON-,PRON,PRP,nsubj,said,VERB,O
1,.,.,PUNCT,.,punct,he,PRON,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,Do,do,AUX,VB,aux,``,PUNCT,O
1,you,-PRON-,PRON,PRP,nsubj,Do,AUX,O
1,not,not,PART,RB,neg,you,PRON,B-NEG
1,find,find,VERB,VB,ROOT,not,PART,O
1,it,-PRON-,PRON,PRP,nsubj,find,VERB,O
1,interesting,interesting,ADJ,JJ,ccomp,it,PRON,O
1,?,?,PUNCT,.,punct,interesting,ADJ,O
1,'','',PUNCT,'',punct,?,PUNCT,O
1,``,`,PUNCT,``,punct,'',PUNCT,O
1,To,to,ADP,IN,ROOT,``,PUNCT,O
1,a,a,X,LS,det,To,ADP,O
1,collector,collector,PROPN,NNP,pobj,a,X,O
1,of,of,ADP,IN,prep,collector,PROPN,O
1,fairy,fairy,PROPN,NNP,compound,of,ADP,O
1,tales,tale,NOUN,NNS,pobj,fairy,PROPN,O
1,.,.,PUNCT,.,punct,tales,NOUN,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,Dr.,Dr.,PROPN,NNP,compound,.,PUNCT,O
1,Mortimer,Mortimer,PROPN,NNP,nsubj,Dr.,PROPN,O
1,drew,draw,VERB,VBD,ROOT,Mortimer,PROPN,O
1,a,a,X,LS,det,drew,VERB,O
1,folded,fold,VERB,VBN,amod,a,X,O
1,newspaper,newspaper,NOUN,NN,dobj,folded,VERB,O
1,out,out,ADP,RP,prep,newspaper,NOUN,O
1,of,of,ADP,IN,prep,out,ADP,O
1,his,-PRON-,DET,PRP$,poss,of,ADP,O
1,pocket,pocket,NOUN,NN,pobj,his,DET,O
1,.,.,PUNCT,.,punct,pocket,NOUN,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,Now,now,ADV,RB,advmod,``,PUNCT,O
1,",",",",PUNCT,",",punct,Now,ADV,O
1,Mr.,Mr.,PROPN,NNP,compound,",",PUNCT,O
1,Holmes,Holmes,PROPN,NNP,npadvmod,Mr.,PROPN,O
1,",",",",PUNCT,",",punct,Holmes,PROPN,O
1,we,-PRON-,PRON,PRP,nsubj,",",PUNCT,O
1,will,will,VERB,MD,aux,we,PRON,O
1,give,give,VERB,VB,ROOT,will,VERB,O
1,you,-PRON-,PRON,PRP,dative,give,VERB,O
1,something,something,PRON,NN,dobj,you,PRON,O
1,a,a,X,LS,det,something,PRON,O
1,little,little,ADJ,JJ,npadvmod,a,X,O
1,more,more,ADJ,JJR,advmod,little,ADJ,O
1,recent,recent,ADJ,JJ,amod,more,ADJ,O
1,.,.,PUNCT,.,punct,recent,ADJ,O
1,This,this,DET,DT,nsubj,.,PUNCT,O
1,is,be,AUX,VBZ,ROOT,This,DET,O
1,the,the,DET,DT,det,is,AUX,O
1,Devon,Devon,PROPN,NNP,compound,the,DET,O
1,County,county,NOUN,NN,compound,Devon,PROPN,O
1,Chronicle,Chronicle,PROPN,NNP,attr,County,NOUN,O
1,of,of,ADP,IN,prep,Chronicle,PROPN,O
1,May,May,VERB,MD,pobj,of,ADP,O
1,14th,14th,X,LS,nummod,May,VERB,O
1,of,of,ADP,IN,prep,14th,X,O
1,this,this,DET,DT,det,of,ADP,O
1,year,year,NOUN,NN,pobj,this,DET,O
1,.,.,PUNCT,.,punct,year,NOUN,O
1,It,-PRON-,PRON,PRP,nsubj,'',PUNCT,O
1,is,be,AUX,VBZ,ROOT,It,PRON,O
1,a,a,X,LS,det,is,AUX,O
1,short,short,ADJ,JJ,amod,a,X,O
1,account,account,PROPN,NNP,attr,short,ADJ,O
1,of,of,ADP,IN,prep,account,PROPN,O
1,the,the,DET,DT,det,of,ADP,O
1,facts,fact,NOUN,NNS,pobj,the,DET,O
1,elicited,elicit,VERB,VBN,acl,facts,NOUN,O
1,at,at,ADP,IN,prep,elicited,VERB,O
1,the,the,DET,DT,det,at,ADP,O
1,death,death,NOUN,NN,pobj,the,DET,O
1,of,of,ADP,IN,prep,death,NOUN,O
1,Sir,Sir,PROPN,NNP,compound,of,ADP,O
1,Charles,Charles,PROPN,NNP,compound,Sir,PROPN,O
1,Baskerville,Baskerville,PROPN,NNP,pobj,Charles,PROPN,O
1,which,which,DET,WDT,nsubj,Baskerville,PROPN,O
1,occurred,occur,VERB,VBD,relcl,which,DET,O
1,a,a,X,LS,det,occurred,VERB,O
1,few,few,ADJ,JJ,amod,a,X,O
1,days,day,NOUN,NNS,npadvmod,few,ADJ,O
1,before,before,ADP,IN,prep,days,NOUN,O
1,that,that,SCONJ,IN,det,before,ADP,O
1,date,date,NOUN,NN,pobj,that,SCONJ,O
1,.,.,PUNCT,.,punct,date,NOUN,O
1,'','',PUNCT,'',punct,.,PUNCT,O
1,My,-PRON-,DET,PRP$,poss,.,PUNCT,O
1,friend,friend,NOUN,NN,nsubj,My,DET,O
1,leaned,lean,VERB,VBD,ROOT,friend,NOUN,O
1,a,a,X,LS,det,leaned,VERB,O
1,little,little,ADJ,JJ,npadvmod,a,X,O
1,forward,forward,ADV,RB,advmod,little,ADJ,O
1,and,and,CCONJ,CC,cc,forward,ADV,O
1,his,-PRON-,DET,PRP$,poss,and,CCONJ,O
1,expression,expression,NOUN,NN,nsubj,his,DET,O
1,became,become,VERB,VBD,conj,expression,NOUN,O
1,intent,intent,ADJ,JJ,acomp,became,VERB,O
1,.,.,PUNCT,.,punct,intent,ADJ,O
1,Our,-PRON-,DET,PRP$,poss,:,PUNCT,O
1,visitor,visitor,PROPN,NNP,nsubj,Our,DET,O
1,readjusted,readjust,VERB,VBN,ROOT,visitor,PROPN,O
1,his,-PRON-,DET,PRP$,poss,readjusted,VERB,O
1,glasses,glass,NOUN,NNS,dobj,his,DET,O
1,and,and,CCONJ,CC,cc,glasses,NOUN,O
1,began,begin,VERB,VBD,conj,and,CCONJ,O
1,:,:,PUNCT,:,punct,began,VERB,O
1,``,`,PUNCT,``,punct,.,PUNCT,O
1,The,the,DET,DT,det,``,PUNCT,O
1,recent,recent,ADJ,JJ,amod,The,DET,O
1,sudden,sudden,ADJ,JJ,amod,recent,ADJ,O
1,death,death,NOUN,NN,nsubj,sudden,ADJ,O
1,of,of,ADP,IN,prep,death,NOUN,O
1,Sir,Sir,PROPN,NNP,compound,of,ADP,O
1,Charles,Charles,PROPN,NNP,compound,Sir,PROPN,O
1,Baskerville,Baskerville,PROPN,NNP,pobj,Charles,PROPN,O
1,",",",",PUNCT,",",punct,Baskerville,PROPN,O
1,whose,whose,DET,WP$,poss,",",PUNCT,O
1,name,name,PROPN,NNP,nsubjpass,whose,DET,O
1,has,have,AUX,VBZ,aux,name,PROPN,O
1,been,be,AUX,VBN,auxpass,has,AUX,O
1,mentioned,mention,VERB,VBN,relcl,been,AUX,O
1,as,as,SCONJ,IN,prep,mentioned,VERB,O
1,the,the,DET,DT,det,as,SCONJ,O
1,probable,probable,ADJ,JJ,amod,the,DET,O
1,Liberal,liberal,ADJ,JJ,amod,probable,ADJ,O
1,candidate,candidate,NOUN,NN,pobj,Liberal,ADJ,O
1,for,for,ADP,IN,prep,candidate,NOUN,O
1,Mid-Devon,mid-devon,ADJ,JJ,pobj,for,ADP,O
1,at,at,ADP,IN,prep,Mid-Devon,ADJ,O
1,the,the,DET,DT,det,at,ADP,O
1,next,next,ADJ,JJ,amod,the,DET,O
1,election,election,NOUN,NN,pobj,next,ADJ,O
1,",",",",PUNCT,",",punct,election,NOUN,O
1,has,have,AUX,VBZ,aux,",",PUNCT,O
1,cast,cast,PROPN,NNP,ROOT,has,AUX,O
1,a,a,X,LS,det,cast,PROPN,O
1,gloom,gloom,NOUN,NN,dobj,a,X,O
1,over,over,ADV,RB,prep,gloom,NOUN,O
1,the,the,DET,DT,det,over,ADV,O
1,county,county,PROPN,NNP,pobj,the,DET,O
1,.,.,PUNCT,.,punct,county,PROPN,O
1,Though,though,SCONJ,IN,mark,.,PUNCT,O
1,Sir,Sir,PROPN,NNP,compound,Though,SCONJ,O
1,Charles,Charles,PROPN,NNP,nsubj,Sir,PROPN,O
1,had,have,AUX,VBD,aux,Charles,PROPN,O
1,resided,reside,VERB,VBD,advcl,had,AUX,O
1,at,at,ADP,IN,prep,resided,VERB,O
1,Baskerville,Baskerville,PROPN,NNP,compound,at,ADP,O
1,Hall,hall,NOUN,NN,pobj,Baskerville,PROPN,O
1,for,for,ADP,IN,prep,Hall,NOUN,O
1,a,a,X,LS,det,for,ADP,O
1,comparatively,comparatively,ADV,RB,advmod,a,X,O
1,short,short,ADJ,JJ,amod,comparatively,ADV,O
1,period,period,NOUN,NN,pobj,short,ADJ,O
1,his,-PRON-,DET,PRP$,poss,period,NOUN,O
1,amiability,amiability,NOUN,NN,nsubj,his,DET,O
1,of,of,ADP,IN,prep,amiability,NOUN,O
1,character,character,NOUN,NN,pobj,of,ADP,O
1,and,and,CCONJ,CC,cc,character,NOUN,O
1,extreme,extreme,ADJ,JJ,amod,and,CCONJ,O
1,generosity,generosity,NOUN,NN,conj,extreme,ADJ,O
1,had,have,AUX,VBD,aux,generosity,NOUN,O
1,won,win,VERB,VBD,ROOT,had,AUX,O
1,the,the,DET,DT,det,won,VERB,O
1,affection,affection,NOUN,NN,dobj,the,DET,O
1,and,and,CCONJ,CC,cc,affection,NOUN,O
1,respect,respect,NOUN,NN,conj,and,CCONJ,O
1,of,of,ADP,IN,prep,respect,NOUN,O
1,all,all,DET,DT,pobj,of,ADP,O
1,who,who,PRON,WP,nsubjpass,all,DET,O
1,had,have,AUX,VBD,aux,who,PRON,O
1,been,be,AUX,VBN,auxpass,had,AUX,O
1,brought,bring,VERB,VBN,relcl,been,AUX,O
1,into,into,ADP,IN,prep,brought,VERB,O
1,contact,contact,NOUN,NN,pobj,into,ADP,O
1,with,with,ADP,IN,prep,contact,NOUN,O
1,him,-PRON-,PRON,PRP,pobj,with,ADP,O
1,.,.,PUNCT,.,punct,him,PRON,O
1,In,in,ADP,IN,prep,.,PUNCT,O
1,these,these,DET,DT,det,In,ADP,O
1,days,day,NOUN,NNS,pobj,these,DET,O
1,of,of,ADP,IN,prep,days,NOUN,O
1,nouveaux,nouveaux,ADJ,JJ,compound,of,ADP,O
1,riches,rich,NOUN,NNS,pobj,nouveaux,ADJ,O
1,it,-PRON-,PRON,PRP,nsubj,riches,NOUN,O
1,is,be,AUX,VBZ,ROOT,it,PRON,O
1,refreshing,refreshing,ADJ,JJ,acomp,is,AUX,O
1,to,to,ADP,IN,aux,refreshing,ADJ,O
1,find,find,VERB,VB,xcomp,to,ADP,O
1,a,a,X,LS,det,find,VERB,O
1,case,case,NOUN,NN,dobj,a,X,O
1,where,where,ADV,WRB,advmod,case,NOUN,O
1,the,the,DET,DT,det,where,ADV,O
1,scion,scion,NOUN,NN,nsubj,the,DET,O
1,of,of,ADP,IN,prep,scion,NOUN,O
1,an,an,X,LS,det,of,ADP,O
1,old,old,ADJ,JJ,amod,an,X,O
1,county,county,PROPN,NNP,compound,old,ADJ,O
1,family,family,NOUN,NN,pobj,county,PROPN,O
1,which,which,DET,WDT,nsubj,family,NOUN,O
1,has,have,AUX,VBZ,aux,which,DET,O
1,fallen,fall,VERB,VBN,relcl,has,AUX,O
1,upon,upon,SCONJ,IN,prep,fallen,VERB,O
1,evil,evil,ADJ,JJ,amod,upon,SCONJ,O
1,days,day,NOUN,NNS,pobj,evil,ADJ,O
1,is,be,AUX,VBZ,relcl,days,NOUN,O
1,able,able,ADJ,JJ,acomp,is,AUX,O
1,to,to,ADP,IN,aux,able,ADJ,O
1,make,make,VERB,VB,xcomp,to,ADP,O
1,his,-PRON-,DET,PRP$,poss,make,VERB,O
1,own,own,ADJ,JJ,amod,his,DET,O
1,fortune,fortune,PROPN,NNP,dobj,own,ADJ,O
1,and,and,CCONJ,CC,cc,fortune,PROPN,O
1,to,to,ADP,IN,aux,and,CCONJ,O
1,bring,bring,VERB,VB,conj,to,ADP,O
1,it,-PRON-,PRON,PRP,dobj,bring,VERB,O
1,back,back,ADV,RB,prt,it,PRON,O
1,with,with,ADP,IN,prep,back,ADV,O
1,him,-PRON-,PRON,PRP,pobj,with,ADP,O
1,to,to,ADP,IN,aux,him,PRON,O
1,restore,restore,VERB,VB,advcl,to,ADP,O
1,the,the,DET,DT,det,restore,VERB,O
1,fallen,fall,VERB,VBN,amod,the,DET,O
1,grandeur,grandeur,PROPN,NNP,dobj,fallen,VERB,O
1,of,of,ADP,IN,prep,grandeur,PROPN,O
1,his,-PRON-,DET,PRP$,poss,of,ADP,O
1,line,line,NOUN,NN,pobj,his,DET,O
1,.,.,PUNCT,.,punct,line,NOUN,O
1,Sir,Sir,PROPN,NNP,compound,.,PUNCT,O
1,Charles,Charles,PROPN,NNP,npadvmod,Sir,PROPN,O
1,",",",",PUNCT,",",punct,Charles,PROPN,O
1,as,as,SCONJ,IN,mark,",",PUNCT,O
1,is,be,AUX,VBZ,auxpass,as,SCONJ,O
1,well,well,INTJ,UH,advmod,is,AUX,O
1,known,know,VERB,VBN,ROOT,well,INTJ,O
1,",",",",PUNCT,",",punct,known,VERB,O
1,made,make,VERB,VBN,xcomp,",",PUNCT,O
1,large,large,ADJ,JJ,amod,made,VERB,O
1,sums,sum,NOUN,NNS,dobj,large,ADJ,O
1,of,of,ADP,IN,prep,sums,NOUN,O
1,money,money,NOUN,NN,pobj,of,ADP,O
1,in,in,ADP,IN,prep,money,NOUN,O
1,South,South,PROPN,NNP,amod,in,ADP,O
1,African,African,PROPN,NNP,amod,South,PROPN,O
1,speculation,speculation,NOUN,NN,pobj,African,PROPN,O
1,.,.,PUNCT,.,punct,speculation,NOUN,O
1,More,More,ADJ,JJR,advmod,.,PUNCT,O
1,wise,wise,ADJ,JJ,advcl,More,ADJ,O
1,than,than,SCONJ,IN,prep,wise,ADJ,O
1,those,those,DET,DT,pobj,than,SCONJ,O
1,who,who,PRON,WP,nsubj,those,DET,O
1,go,go,VERB,VB,relcl,who,PRON,O
1,on,on,ADP,IN,advmod,go,VERB,O
1,until,until,ADP,IN,mark,on,ADP,O
1,the,the,DET,DT,det,until,ADP,O
1,wheel,wheel,NOUN,NN,nsubj,the,DET,O
1,turns,turn,VERB,VBZ,advcl,wheel,NOUN,O
1,against,against,ADP,IN,prep,turns,VERB,O
1,them,-PRON-,PRON,PRP,pobj,against,ADP,O
1,",",",",PUNCT,",",punct,them,PRON,O
1,he,-PRON-,PRON,PRP,nsubj,",",PUNCT,O
1,realized,realize,VERB,VBN,ROOT,he,PRON,O
1,his,-PRON-,DET,PRP$,poss,realized,VERB,O
1,gains,gain,NOUN,NNS,dobj,his,DET,O
1,and,and,CCONJ,CC,cc,gains,NOUN,O
1,returned,return,VERB,VBD,conj,and,CCONJ,O
1,to,to,ADP,IN,prep,returned,VERB,O
1,England,England,PROPN,NNP,pobj,to,ADP,O
1,with,with,ADP,IN,prep,England,PROPN,O
1,them,-PRON-,PRON,PRP,pobj,with,ADP,O
1,.,.,PUNCT,.,punct,them,PRON,O
1,It,-PRON-,PRON,PRP,nsubj,.,PUNCT,O
1,is,be,AUX,VBZ,ROOT,It,PRON,O
1,only,only,ADV,RB,advmod,is,AUX,O
1,two,two,NUM,CD,nummod,only,ADV,O
1,years,year,NOUN,NNS,attr,two,NUM,O
1,since,since,SCONJ,IN,mark,years,NOUN,O
